park,year,total_visitors,visitor_spending,average_spending
Everglades National Park,2018,"597,124","58,664.00",0.10
Gates Of The Arctic National Park,2012,"10,899","15,742.50",1.44
Gates Of The Arctic National Park,2013,"11,012","16,291.90",1.48
Gates Of The Arctic National Park,2014,"12,669","19,119.20",1.51
Gates Of The Arctic National Park,2015,"10,745","16,576.90",1.54
Gates Of The Arctic National Park,2016,"10,047","15,844.80",1.58
Gates Of The Arctic National Park,2017,"11,177","17,161.40",1.54
Gates Of The Arctic National Park,2018,"9,591","14,567.00",1.52
Glacier Bay National Park,2012,"454,337","92,676.30",0.20
Glacier Bay National Park,2013,"500,590","96,283.00",0.19
Glacier Bay National Park,2014,"500,727","111,595.90",0.22
Glacier Bay National Park,2015,"551,353","112,754.20",0.20
Glacier Bay National Park,2016,"520,171","112,054.60",0.22
Glacier Bay National Park,2017,"547,057","113,804.70",0.21
Glacier Bay National Park,2018,"597,916","217,161.00",0.36
Glacier National Park,2012,"2,162,035","172,420.90",0.08
Glacier National Park,2013,"2,190,374","178,840.20",0.08
Glacier National Park,2014,"2,338,528","193,345.60",0.08
Glacier National Park,2015,"2,366,057","198,966.00",0.08
Glacier National Park,2016,"2,946,681","250,815.50",0.09
Glacier National Park,2017,"3,305,513","275,137.30",0.08
Glacier National Park,2018,"2,965,310","344,287.00",0.12
Grand Canyon National Park,2012,"4,421,352","453,641.30",0.10
Grand Canyon National Park,2013,"4,564,841","476,194.80",0.10
Grand Canyon National Park,2014,"4,756,771","509,528.00",0.11
Grand Canyon National Park,2015,"5,520,736","584,890.90",0.11
Grand Canyon National Park,2016,"5,969,811","648,170.90",0.11
Grand Canyon National Park,2017,"6,254,238","666,912.80",0.11
Grand Canyon National Park,2018,"6,380,494","947,119.00",0.15
Grand Teton National Park,2012,"2,705,256","454,093.60",0.17
Grand Teton National Park,2013,"2,688,795","462,609.00",0.17
Grand Teton National Park,2014,"2,791,393","489,710.10",0.18
Grand Teton National Park,2015,"3,149,920","560,394.40",0.18
Grand Teton National Park,2016,"3,270,075","597,290.50",0.18
Grand Teton National Park,2017,"3,316,999","589,903.90",0.18
Grand Teton National Park,2018,"3,491,151","628,933.00",0.18
Great Basin National Park,2012,"94,850","4,912.60",0.05
Great Basin National Park,2013,"92,893","4,927.30",0.05
Great Basin National Park,2014,"107,525","5,846.30",0.05
Great Basin National Park,2015,"116,124","6,461.20",0.06
Great Basin National Park,2016,"144,847","8,362.40",0.06
Great Basin National Park,2017,"168,027","9,694.10",0.06
Great Basin National Park,2018,"153,094","8,795.00",0.06
Great Sand Dunes National Park,2012,"254,674","14,323.00",0.06
Great Sand Dunes National Park,2013,"242,841","14,077.50",0.06
Great Sand Dunes National Park,2014,"271,774","15,754.90",0.06
Great Sand Dunes National Park,2015,"299,513","17,752.70",0.06
Great Sand Dunes National Park,2016,"388,307","23,701.00",0.06
Great Sand Dunes National Park,2017,"486,935","29,582.60",0.06
Great Sand Dunes National Park,2018,"442,906","27,414.00",0.06
Great Smoky Mountains National Park,2012,"9,685,829","741,499.10",0.08
Great Smoky Mountains National Park,2013,"9,354,695","734,086.60",0.08
Great Smoky Mountains National Park,2014,"10,099,276","806,719.90",0.08
Great Smoky Mountains National Park,2015,"10,712,673","873,886.50",0.08
Great Smoky Mountains National Park,2016,"11,312,786","942,731.80",0.08
Great Smoky Mountains National Park,2017,"11,338,893","922,947.10",0.08
Great Smoky Mountains National Park,2018,"11,421,201","953,130.00",0.08
Guadalupe Mountains National Park,2012,"159,360","9,111.50",0.06
Guadalupe Mountains National Park,2013,"145,670","8,500.50",0.06
Guadalupe Mountains National Park,2014,"166,868","9,949.40",0.06
Guadalupe Mountains National Park,2015,"169,535","10,305.20",0.06
Guadalupe Mountains National Park,2016,"181,838","11,240.20",0.06
Guadalupe Mountains National Park,2017,"225,257","13,646.20",0.06
Guadalupe Mountains National Park,2018,"172,347","10,710.00",0.06
Haleakala National Park,2012,"1,094,668","64,461.30",0.06
Haleakala National Park,2013,"785,300","47,445.40",0.06
Haleakala National Park,2014,"1,142,040","70,290.10",0.06
Haleakala National Park,2015,"1,216,772","76,462.50",0.06
Haleakala National Park,2016,"1,263,559","81,087.90",0.06
Haleakala National Park,2017,"1,112,390","69,751.10",0.06
Haleakala National Park,2018,"1,044,083","67,459.00",0.06
Hawaii Volcanoes National Park,2012,"1,483,928","113,376.40",0.08
Hawaii Volcanoes National Park,2013,"1,583,209","124,937.40",0.08
Hawaii Volcanoes National Park,2014,"1,693,005","136,839.70",0.08
Hawaii Volcanoes National Park,2015,"1,832,660","151,246.20",0.08
Hawaii Volcanoes National Park,2016,"1,887,580","159,195.50",0.08
Hawaii Volcanoes National Park,2017,"2,016,702","166,177.30",0.08
Hawaii Volcanoes National Park,2018,"1,116,890","94,118.00",0.08
Hot Springs National Park,2012,"1,302,505","77,011.20",0.06
Hot Springs National Park,2013,"1,325,719","80,191.00",0.06
Hot Springs National Park,2014,"1,424,485","87,606.10",0.06
Hot Springs National Park,2015,"1,418,163","88,953.70",0.06
